country,2016,2017,2018,2019,2020,2021,2022
Algeria,11685.4514179182,11809.4830333846,12007.7747128314,12120.4063738912,11452.226623766,12170.1937765589,13209.5967685963
Argentina,20307.870052142,23597.117752839,23294.0986752419,23007.8365916056,20787.857870615,23754.3613898843,26504.5905619696
Australia,47249.4348152753,48400.2457875228,50192.9573282841,51909.0151023258,53066.4909886668,55947.0522280521,62625.357642365
Austria,52684.0171130768,54172.9867888254,56937.944282984,59704.2233778226,57258.6902272271,59962.8270521703,67935.8479736373
Azerbaijan,14371.0227410092,14121.4069355591,14551.2001141105,15054.544606509,14495.6569721312,15927.2101484962,17764.445588544
Bahrain,45281.3019203255,48929.4470119951,50114.1503913545,51879.7363438765,50682.7595647482,54901.5126284982,61227.8972211496
Bangladesh,4558.56389477538,4830.7760826813,5247.69470722744,5699.07814661162,5904.56737548497,6522.5558405934,7395.09598677725
Belarus,17785.9431970966,18356.0660575514,19430.9092097721,20106.0689126376,20317.231920485,21928.6857574651,22590.5909223364
Belgium,48597.3999826201,50442.2705419624,52530.5620821347,55804.8189232341,54569.9253850181,58840.7022747126,65027.2948954044
Brazil,14208.1611051807,14477.8617680601,14971.0546665932,15307.9412354827,14900.104216322,16260.0987486322,17821.7372609877
Bulgaria,20074.26478835,21469.9708893116,23016.0668039048,25170.2159956367,25296.0709365879,28113.1172301145,33582.2826109196
Cambodia,3708.36910865107,3972.72416392795,4319.01589003315,4653.63036632602,4515.70950577124,4805.08074293457,5349.46379391856
Cameroon,3559.13512043726,3691.09472365252,3822.23276463972,3915.82749850592,3870.82943303969,4083.30771345032,4408.04627354922
Canada,46472.3402486315,48317.1745835151,49992.7622757708,49832.4053770764,47226.3651403334,53023.4205562458,58399.5454813184
Chile,23492.2878562645,24546.9124208604,25564.536716881,25600.1927034849,24941.2350880403,28337.0732119833,30208.805531053
China,13483.3772665319,14243.5326108491,15497.8257403033,16655.3993635093,17209.4429539743,19484.3080865205,21475.610527214
Colombia,13971.3395877313,14334.9146083622,15161.3179744309,15872.3089831645,15103.0738208886,17105.0024667059,20287.4002631682
Costa Rica,18898.075223414,20168.2204808997,21144.4097740325,22608.2321555574,21693.6728159398,22643.4950121914,24922.659274084
Croatia,25260.2008971697,27206.9357140804,28909.4165608549,31588.0267190754,29690.153680402,34721.872681453,40379.5724355217
Cyprus,35878.4140625,38415.109375,40676.5703125,44039.01171875,41425.92578125,44405.0078125,49930.8671875
Czechia,36097.7052556977,38824.8879170919,41143.8270486711,44212.7465021167,42827.0600062247,45630.0378065014,49945.5001044375
Denmark,51976.0057060956,55356.680780178,57482.9623999067,59910.6648428991,60832.1582906885,64883.9020335877,74005.4785197575
Dominican Republic,15911.1543901247,16524.5338420587,17904.4502873475,18941.7167791279,17707.6878853385,20553.0995075054,22833.5257548031
Ecuador,11068.8568481159,11679.4302342769,11887.4922454745,11873.2893067757,10937.1067659167,11772.5289641273,12822.1137763438
Egypt,10593.7478005893,10995.0056689479,11636.4988438313,12280.6063924863,12661.181204072,13440.6194116398,15090.9908752257
El Salvador,8174.47412527597,8617.92170824529,9024.05142157092,9405.70361998303,8760.29690445011,10142.5509830133,11096.2132011865
Estonia,31312.7522996878,33821.93290847,36410.1220937377,39007.1659628423,39441.849084436,43476.8542259429,46697.3597360426
Finland,44934.4482077785,47570.133583848,49579.3310008278,51811.5573678339,52305.2893109382,54706.4459747236,59026.7073352151
France,42924.613626021,44577.0645745394,46537.4740442591,50500.96075877,48134.959794619,51363.7203822404,55492.5655467571
Germany,50579.6839299266,53071.4555699913,55195.8405428372,57397.523875469,56482.4756342562,58798.9373528813,63149.5986898098
Ghana,4811.5728157153,4929.56795405121,5248.46349037158,5572.66918900611,5558.35626430583,5997.55766541617,6498.38572689223
Greece,27511.8010160972,28604.8609402657,29617.5483399732,31155.9071177411,28416.5239017982,31294.800289497,36834.8710885703
Guatemala,8221.74642722194,8322.21680991504,8672.71778183822,9040.8341127902,8859.0117398945,9850.90466668914,10818.1717242445
Honduras,5043.87148926827,5447.69879159062,5694.95854300159,5851.74245842515,5309.79017806841,6148.66446431005,6741.09694744697
Hungary,27941.9268571832,29496.1636824744,31908.863454349,34645.5653834313,34169.9222845578,36773.3140344664,41906.6555658699
India,5778.26961388029,6112.06664986136,6590.88230124869,6897.77003776243,6517.76138754341,7367.99466511595,8379.06248736089
Indonesia,10482.6989966051,10941.9209510231,11671.4323303214,12360.6917362653,12160.7167616838,13086.3924176102,14652.9282752376
"Iran, Islamic Republic of",14661.8394415995,15163.292311303,14980.6347852297,14681.6873154341,15240.7729143267,16557.0461822083,18075.0549731636
Ireland,71537.5818654043,77968.6298525543,84708.2509152739,89716.1636971329,93942.6057474311,106570.398435242,126905.198534476
Israel,38208.3562401672,39448.1391458162,40231.9052581114,40937.0095634177,40219.2685206562,44064.5638015519,49509.1289935125
Italy,39926.9546628592,41581.120790548,43036.2437770367,45799.7722515421,43144.4064185475,46705.0179059813,51864.9777354821
Japan,40596.9686628994,41444.2157443914,42141.9352987759,42270.9627920042,41683.9155842443,42833.8513340851,45572.7238228213
Jordan,9056.90986635996,9629.10299712752,9814.92430533891,9939.03700271803,9698.43367002425,10155.424986525,11003.1245205793
Kazakhstan,23818.8248260141,24862.9661245889,26158.4457713521,27469.4150979863,26782.1001809854,28811.8788315391,30809.8794265678
Kenya,4025.84174664847,4312.90891724989,4572.14993656962,4796.35409505861,4749.27696689267,5236.61216265411,5763.91009193441
"Korea, Republic of",39575.4542830031,40957.4180587145,43044.2917633371,43410.3022035099,44694.7336959843,46875.2909815757,50069.8233877975
Latvia,26721.7261996961,28673.5633962664,30877.0419264806,32927.7951247193,33018.6241671621,35018.4521137124,39956.1904770152
Lebanon,16588.0866297261,17808.076885992,18368.7981230355,17913.8848372673,14563.7705343262,14330.5156325649,
Lithuania,30925.1708493589,33761.871239796,36376.5278839032,39957.6069742349,40176.4600412493,43796.7840052168,48396.6935449884
Luxembourg,113365.176082265,114985.842235989,116498.512080919,119541.758443937,120010.208308273,131511.020155033,142213.851685246
Malaysia,21308.6852960876,22143.8265496345,23571.8941577226,24680.5577987914,21352.3966881944,23064.3457398524,26905.9186190916
Mexico,19612.148487106,20032.4086125948,20448.9216192642,20224.2908948817,18522.0021654377,19578.4038080309,21512.2695445099
Morocco,7693.05712890625,7921.619140625,8266.1435546875,8566.1162109375,7968.67431640625,8892.1044921875,9518.7060546875
Myanmar,4120.73716894824,4312.94738940376,4665.81683735083,5034.36297233582,5224.19905495347,4449.83389810341,4870.02149904408
